# VID PID
0x1da5,0xf000
0x1bbb,0xf000
0x1004,0x613a
0x1004,0x61dd
0x07d1,0xa800
0x07d1,0xa804
0x05c6,0x2001
0x1c9e,0x1001
0x05c6,0x1001
0x05c6,0xf004
0x0408,0x1000
0x0408,0xf000
0x0408,0xf001
0x0408,0xf003
0x1a8d,0x1000
0x1a8d,0x2000
0x12d1,0x1446
0x12d1,0x1411
0x12d1,0x0fff
0x12d1,0x1521
0x12d1,0x1520
0x1e0e,0xf000
0x0af0,0x6971
0x0af0,0xd033
0x0af0,0xd055
0x0af0,0x7501
0x0af0,0xd157
0x1d09,0x1000
0x1d09,0x1023
0x1d09,0x1022
0x1d09,0x1025
0x19d2,0x2000
0x19d2,0x0103
0x19d2,0x0033
0x19d2,0x1523
0x1410,0x5010
0x1410,0x5020
0x1410,0x5030
0x1410,0x5031
0x1199,0x0fff
0x1c9e,0x1001
0x1c9e,0x9101
0x1c9e,0x9401
0x1c9e,0x9904
0x1c9e,0xf000
0x1c9e,0x9200
0x05c6,0xf000
0x2020,0xf00e
0x1d12,0xf00e
0x0421,0x0610
0x0421,0x0618
0x0421,0x0622
0x0421,0x062c
0x1e89,0xf000
0x1ab7,0x5700
0x106c,0x3b05
0x106c,0x3b06
0x05c6,0x1000
0x16d8,0x6803
0x12d1,0x1414
0x2077,0x1000
0x19d2,0xfff5
0x19d2,0x0026
0x19d2,0x0120
0x04a9,0xFFFF
0x05c6,0x9011
0x1435,0x0918
0x1435,0xd181
0x05c6,0x9046
0x05c6,0x9008
